questions,answers
" Điều kiện nào sinh viên cần đạt để được xét học bổng Gắn kết quê hương?
","Để được xét học bổng Gắn kết quê hương, sinh viên cần đạt các điều kiện sau:

1. Toàn bộ thành viên trong nhóm thực hiện đề tài đồ án/khóa luận tốt nghiệp (ĐATN) phải có điểm học tập trung bình tích lũy từ loại khá trở lên (CPA ≥ 2.5) tính đến hết học kỳ 2023.1.
2. Đề tài ĐATN phải được ứng dụng tại cơ quan/doanh nghiệp và góp phần cải tiến, nâng cao chất lượng, hiệu quả kinh doanh, sản xuất hoặc chất lượng các dịch vụ an sinh xã hội tại quê hương của ít nhất một trong số sinh viên cùng thực hiện đề tài ĐATN. Quê hương được hiểu là tỉnh/thành phố nơi sinh viên tốt nghiệp trung học phổ thông.

Mong rằng câu trả lời này sẽ giúp ích cho bạn.
"
" Học bổng Gắn kết quê hương có mức giá trị là bao nhiêu?
","Học bổng Gắn kết quê hương có mức giá trị là 5 triệu đồng/ĐATN.
"
" Nơi sinh viên có thể xem chi tiết quy định về Học bổng Gắn kết quê hương?
","Bạn có thể xem chi tiết quy định về Học bổng Gắn kết quê hương tại đường link sau: https://ctsv.hust.edu.vn/#/so-tay-sv/61/hoc-bong.
"
" Các viện đào tạo có nhiệm vụ gì?
","Các viện đào tạo có nhiệm vụ chính là tư vấn và hỗ trợ sinh viên trong các lĩnh vực sau:

1. Tư vấn hỗ trợ sinh viên về chương trình đào tạo và đăng ký học tập.
2. Hướng dẫn sinh viên định hướng nghề nghiệp và cung cấp thông tin về các cơ hội việc làm.
3. Cung cấp các loại giấy tờ hành chính cho sinh viên như bảng trích sao kết quả học tập, giấy chứng nhận sinh viên, giấy giới thiệu sinh viên, giấy làm vé xe buýt tháng.
4. Tư vấn và hỗ trợ về thực hiện chế độ chính sách và học bổng cho sinh viên.

"
" Đại học Bách Khoa Hà Nội đã áp dụng hình thức đào tạo theo hệ thống tín chỉ từ khóa nào?
","Đại học Bách Khoa Hà Nội đã áp dụng hình thức đào tạo theo hệ thống tín chỉ từ khóa 52. Điều này được nêu trong đoạn văn từ ""Cẩm nang sinh viên và Cẩm nang Phòng tư vấn"", được cập nhật vào ngày 26/03/2024.
"
" Hình thức đào tạo theo tín chỉ có những ưu điểm gì?
","Hình thức đào tạo theo tín chỉ có những ưu điểm sau:

1. **Mềm dẻo và linh hoạt**: Hệ thống tín chỉ cho phép sinh viên tự chủ động trong việc xây dựng kế hoạch học tập của mình. Sinh viên có thể chủ động đăng ký môn học, điều chỉnh thời gian học tập phù hợp với lịch trình cá nhân và các nhu cầu cụ thể.

2. **Tập trung vào sinh viên**: Hình thức này đặt sinh viên làm trung tâm, giúp họ phát triển kỹ năng tự học và tự quản lý. Sinh viên được khuyến khích trở thành người tự tin và có trách nhiệm với quá trình học tập của mình.

3. **Tiên tiến và phổ biến**: Đào tạo theo hệ thống tín chỉ là một xu hướng tiên tiến được áp dụng rộng rãi ở nhiều quốc gia trên thế giới, bao gồm cả Đại học Bách Khoa Hà Nội. Điều này đảm bảo rằng sinh viên sẽ được tiếp cận với một hệ thống giáo dục hiện đại và phù hợp với xu hướng quốc tế.

4. **Tăng cường trách nhiệm cá nhân**: Sinh viên không chỉ học về kiến thức chuyên môn mà còn được khuyến khích tự trang bị cho mình những kiến thức về quyền lợi, nghĩa vụ và kỹ năng tự quản lý. Điều này giúp họ trở thành người tự lập và tự tin khi bước ra xã hội sau khi tốt nghiệp.

Những ưu điểm này cùng nhau tạo nên một môi trường học tập tích cực và phát triển cho sinh viên, đồng thời chuẩn bị họ tốt nhất cho tương lai sau này.
"
" Các hướng dẫn về công tác sinh viên bao gồm những nội dung nào?
","Các hướng dẫn về công tác sinh viên từ đoạn văn bao gồm:

1. Học bổng, chế độ chính sách, vay vốn tín dụng, nghỉ học dài ngày.
2. Kinh nghiệm tham gia các hoạt động ngoại khóa, đời sống của sinh viên.
"
" Cuốn ""Cẩm nang phòng tư vấn"" chứa những thông tin gì?
","Cuốn ""Cẩm nang phòng tư vấn"" chứa các thông tin hướng dẫn và hỗ trợ cho sinh viên về các vấn đề liên quan đến việc học tập và cuộc sống tại trường, cụ thể là:

1. Hướng dẫn về quy trình và các biện pháp hỗ trợ từ phòng tư vấn cho sinh viên.
2. Các thông tin về quyền lợi và nghĩa vụ của sinh viên.
3. Hướng dẫn về việc tổ chức học tập và cuộc sống sinh viên.
4. Các thông tin và chỉ dẫn cần thiết về các chương trình đào tạo và hệ thống tín chỉ của trường.
5. Các hướng dẫn về các vấn đề liên quan đến công tác sinh viên như học bổng, chế độ chính sách, vay vốn tín dụng, và nghỉ học dài ngày.
6. Kinh nghiệm tham gia các hoạt động ngoại khóa và đời sống của sinh viên.

Đồng thời, cuốn sách này có thể cung cấp cho sinh viên những kiến thức cần thiết để họ tự tin và thành công trong quá trình học tập và rèn luyện tại trường.
"
" Quyết định số mấy và do ai ký ban hành về mức học phí các chương trình đào tạo chính quy trong học kỳ 1 năm học 2023-2024?
","Quyết định về mức học phí các chương trình đào tạo chính quy trong học kỳ 1 năm học 2023-2024 là Quyết định số 7836/QĐ-ĐHBK, được ký ban hành bởi Giám đốc Đại học BKHN vào ngày 06/09/2023.
"
" Làm thế nào mức học phí đào tạo thạc sĩ, tiến sĩ đối với khóa mới nhập học trong học kỳ 1 năm học 2023-2024 so với năm trước?
","Mức học phí đào tạo thạc sĩ, tiến sĩ đối với khóa mới nhập học trong học kỳ 1 năm học 2023-2024 không thay đổi so với mức học phí của chương trình đào tạo tương ứng được áp dụng trong năm học 2022-2023.
"
" Sinh viên ngoại tỉnh có thể tìm nhà ở tại đâu theo thông tin trong đoạn văn?
","Sinh viên ngoại tỉnh có thể tìm nhà ở tại các địa điểm sau:

1. Ký túc xá Bách Khoa Hà Nội: Bằng cách truy cập trang thông tin của KTX Bách Khoa Hà Nội tại http://ktx.hust.edu.vn/, sinh viên có thể tìm hiểu và đăng ký lưu trú tại đây.

2. Khu nhà ở học sinh, sinh viên Pháp Vân - Tứ Hiệp: Đây là nhà ở xã hội dành cho học sinh, sinh viên thuộc các cơ sở đào tạo trên địa bàn thành phố Hà Nội. Thông tin chi tiết có thể được tìm thấy tại https://www.facebook.com/groups/616951003253188.

3. Kênh thông tin nhà trọ của Hội Sinh viên: Truy cập vào https://www.facebook.com/hotrosinhvienbk để tìm kiếm thông tin về nhà trọ.

4. Ứng dụng iCTSV: Sinh viên cũng có thể tìm nhà trọ thông qua ứng dụng này. Bằng cách cài đặt ứng dụng, vào mục Nhà trọ, lựa chọn khu vực nhà trọ cần tìm, ứng dụng sẽ hiển thị danh sách nhà trọ với thông tin liên hệ để sinh viên có thể liên hệ trực tiếp với chủ nhà trọ.
"
" Làm thế nào để tìm nhà trọ thông qua Ứng dụng iCTSV theo hướng dẫn trong đoạn văn?
","Để tìm nhà trọ thông qua Ứng dụng iCTSV theo hướng dẫn trong đoạn văn, bạn có thể làm theo các bước sau:

1. **Cài đặt ứng dụng iCTSV:** Trước tiên, bạn cần tải và cài đặt ứng dụng iCTSV trên điện thoại di động của mình từ cửa hàng ứng dụng phù hợp (ví dụ: Google Play Store cho hệ điều hành Android, App Store cho iOS).

2. **Mở ứng dụng và truy cập vào mục ""Nhà trọ"":** Sau khi cài đặt thành công, bạn mở ứng dụng và chọn mục ""Nhà trọ"" từ giao diện chính của ứng dụng.

3. **Lựa chọn khu vực nhà trọ:** Trong mục ""Nhà trọ"", bạn sẽ có cơ hội lựa chọn khu vực cụ thể mà bạn muốn tìm nhà trọ. Có thể là khu vực gần trường học, khu vực thuận tiện đi lại, hoặc khu vực phù hợp với ngân sách của bạn.

4. **Xem danh sách nhà trọ:** Sau khi chọn khu vực, ứng dụng sẽ hiển thị danh sách các nhà trọ tương ứng. Danh sách này bao gồm các thông tin như địa chỉ, giá cả, tiện ích có sẵn và thông tin liên hệ của chủ nhà trọ.

5. **Liên hệ trực tiếp với chủ nhà trọ:** Bạn có thể chọn một trong các nhà trọ trong danh sách và liên hệ trực tiếp với chủ nhà trọ thông qua các thông tin liên hệ được cung cấp trong ứng dụng để biết thêm chi tiết và sắp xếp việc thuê nhà.

Với các bước trên, bạn sẽ có thể tìm nhà trọ một cách dễ dàng thông qua Ứng dụng iCTSV theo hướng dẫn trong đoạn văn.
"
" Như thế nào là quy trình đăng ký lớp cho sinh viên hệ đào tạo quốc tế SIE?
","Quy trình đăng ký lớp cho sinh viên hệ đào tạo quốc tế SIE của trường bao gồm các bước sau:

1. Đầu tiên, sinh viên cần truy cập vào trang web của Phòng Đào tạo thông qua đường link được cung cấp.

2. Sau đó, họ đăng nhập vào hệ thống bằng thông tin cá nhân của mình.

3. Tiếp theo, sinh viên chọn mục ""Đăng ký lớp"" hoặc tìm kiếm chức năng tương ứng trên giao diện hệ thống.

4. Tại đây, sinh viên sẽ có thể xem danh sách các lớp học được cung cấp cho sinh viên hệ đào tạo quốc tế SIE.

5. Sinh viên chọn các lớp học mà họ muốn đăng ký và thêm chúng vào lịch học cá nhân của mình.

6. Sau khi đã chọn đủ các lớp học, sinh viên xác nhận đăng ký bằng cách hoàn tất các bước theo hướng dẫn trên trang web.

7. Khi quá trình đăng ký hoàn tất, sinh viên sẽ nhận được xác nhận qua email hoặc thông báo trực tuyến khác về việc đăng ký thành công.

8. Trong trường hợp có bất kỳ thắc mắc nào về quá trình đăng ký lớp học, sinh viên có thể liên hệ trực tiếp với Phòng Đào tạo để được hỗ trợ và giải đáp.

Như vậy, sau khi hoàn thành các bước trên, sinh viên sẽ đã hoàn tất quá trình đăng ký lớp học cho hệ đào tạo quốc tế SIE tại trường.
"
" Những giấy tờ nào cần chuẩn bị khi nộp hồ sơ chuyển trường?
","Để chuẩn bị hồ sơ chuyển trường, bạn cần có các giấy tờ sau:

1. Minh chứng xếp hạng của cơ sở giáo dục đại học tại nước ngoài, có thể là bản in của trang web xếp hạng hoặc trang web của trường có công bố xếp hạng, cùng với đường link.
2. Minh chứng về việc bạn không thuộc diện bị buộc thôi học, có thể là bản in tài khoản học tập cá nhân hoặc minh chứng khác phù hợp.
3. Đơn xin chuyển trường.
4. Bản photo của các bảng kết quả học tập tại trường đại học nước ngoài, và nếu ngôn ngữ đào tạo khác tiếng Anh, bạn cần có bản dịch công chứng. Bản chính sẽ nộp khi hồ sơ được xét duyệt chính thức.
5. Để phục vụ việc công nhận tín chỉ tích lũy tương đương, bạn cần cung cấp thêm các giấy tờ sau:
   - Bản mô tả về cách xếp loại kết quả học phần, cách qui đổi tín chỉ tại trường đại học nước ngoài.
   - Bản mô tả tóm tắt các học phần, kèm theo đường link nếu có.

Sau khi chuẩn bị đầy đủ các giấy tờ này, bạn có thể nộp hồ sơ theo các cách sau:
- Nộp trực tiếp tại Phòng Đào tạo 202A-C1, Trường đại học Bách khoa Hà Nội trong giờ hành chính các ngày trong tuần.
- Gửi chuyển phát đảm bảo tới: Phòng Đào tạo, Trường đại học Bách khoa Hà Nội, số 1 Đại Cồ Việt, Hà Nội, Việt Nam.
- Chụp ảnh hồ sơ và gửi tới địa chỉ email của Phòng Đào tạo: dt@hust.edu.vn. Trong tiêu đề email, bạn ghi theo cú pháp: ""Hồ sơ chuyển trường_ Họ và tên sinh viên"".

Bạn có thể tải file hướng dẫn chi tiết tại đường link: [Hướng dẫn chuyển trường sinh viên học nước ngoài về Việt Nam](https://ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_huongdan/HD%20chuyen%20truong%20SV%20hoc%20nuoc%20ngoai%20ve%20VN.pdf)
"
" Lịch phát bằng cho sinh viên khoá cũ được tổ chức vào những ngày nào trong tuần?
","Lịch phát bằng cho sinh viên khoá cũ được tổ chức vào thứ 3 và thứ 5 hàng tuần.
"
" Bước tiếp theo sau khi có giấy tường trình về việc mất trộm được xác nhận bởi công an là gì?
","Bước tiếp theo sau khi có giấy tường trình về việc mất trộm được xác nhận bởi công an là trình chứng minh nhân dân (hoặc thẻ căn cước công dân) và nộp giấy tờ tại cơ quan quản lý để nhận được giấy chứng nhận thay thế. Thời gian nhận giấy chứng nhận là sau khi nộp giấy tờ là 3 ngày.
"
" Mức phí gửi xe đối với các loại phương tiện là bao nhiêu?
","Mức phí gửi xe đối với các loại phương tiện như sau:

- Xe đạp:
  - Thường xuyên: 1.000 đồng/xe/lượt
  - Vãng lai: 2.000 đồng/xe/lượt
  - Xe đạp sau 18h:
    - Thường xuyên: 2.000 đồng/xe/lượt
    - Vãng lai: 3.000 đồng/xe/lượt

- Xe máy:
  - Thường xuyên: 2.000 đồng/xe/lượt
  - Vãng lai: 3.000 đồng/xe/lượt
  - Xe máy sau 18h:
    - Thường xuyên: 4.000 đồng/xe/lượt
    - Vãng lai: 4.000 đồng/xe/lượt

Đây là các mức phí áp dụng cho khu vực trường học, theo Quyết định số 44/2017/QĐ-UBND ngày 15/12/2017 của UBND Thành phố Hà Nội.
"
" Phòng nào trong Thư viện Tạ Quang Bửu được trang bị điều hòa và hệ thống máy tính có kết nối mạng, wifi?
","Phòng trong Thư viện Tạ Quang Bửu được trang bị điều hòa và hệ thống máy tính có kết nối mạng, wifi là ""Phòng đọc chuyên ngành"".
"
" Sinh viên có thể mượn tài liệu về nhà trong bao lâu và miễn phí ở Thư viện Tạ Quang Bửu?
","Sinh viên có thể mượn tài liệu về nhà trong bao lâu và miễn phí ở Thư viện Tạ Quang Bửu là lên đến 3 tháng và hoàn toàn miễn phí.
"
" Trong tình hình dịch COVID, sinh viên có cách nào để mượn tài liệu từ xa tại Thư viện Tạ Quang Bửu?
","Trong bối cảnh dịch COVID-19, sinh viên có thể mượn tài liệu từ xa tại Thư viện Tạ Quang Bửu bằng cách đặt mượn từ xa. Sinh viên có thể gửi yêu cầu mượn tài liệu qua email hoặc qua các hình thức truyền thông khác mà thư viện cung cấp. Thư viện sau đó sẽ chuyển phát nhanh tài liệu theo yêu cầu đến địa chỉ cung cấp và thực hiện việc mượn từ xa cho sinh viên. Điều này giúp sinh viên tiếp cận tài liệu mà họ cần mà không cần phải đến thư viện trực tiếp, từ đó giảm thiểu rủi ro lây nhiễm và đảm bảo an toàn cho cả sinh viên và nhân viên thư viện trong thời gian dịch bệnh.
"
" Ngoài việc mượn sách, Thư viện Tạ Quang Bửu còn cung cấp những dịch vụ nào khác để hỗ trợ giảng dạy và học tập của cán bộ và sinh viên trường?
","Ngoài việc mượn sách, Thư viện Tạ Quang Bửu cung cấp các dịch vụ khác để hỗ trợ giảng dạy và học tập cho cán bộ và sinh viên như sau:

1. **Phòng đọc chuyên ngành**: Đây là nơi sinh viên có thể nghiên cứu, học tập và trao đổi. Thư viện cung cấp một không gian rộng rãi, được trang bị điều hòa và hệ thống máy tính có kết nối mạng và wifi.

2. **Phòng Luận văn luận án và Phòng báo**: Cung cấp nguồn tài liệu chuyên sâu cho các nghiên cứu và thông tin cập nhật.

3. **Phòng đa phương tiện**: Hỗ trợ nhu cầu học tập và giải trí thông qua các tài nguyên đa phương tiện.

4. **Các dịch vụ mượn tài liệu về nhà và tự học**: Cho phép sinh viên mượn giáo trình về nhà với thời gian mượn lên đến 3 tháng, hoàn toàn miễn phí. Trong bối cảnh dịch COVID, sinh viên còn có thể đặt mượn từ xa và thư viện sẽ chuyển phát nhanh tài liệu theo yêu cầu.

5. **Cung cấp thông tin theo yêu cầu và giải đáp thắc mắc**: Thư viện hỗ trợ cung cấp thông tin và giải đáp các thắc mắc liên quan đến tài liệu học tập, nghiên cứu.

6. **Mượn liên thư viện**: Mở rộng nguồn tài nguyên thông qua việc mượn tài liệu từ các thư viện khác.

Các dịch vụ này giúp tăng cường hiệu quả giảng dạy và học tập, đồng thời tạo điều kiện thuận lợi cho sinh viên và giảng viên trong quá trình tìm kiếm và sử dụng tài liệu cần thiết cho mục đích học tập và nghiên cứu.
"
" Những điều kiện nào cần phải đạt để được xét Học bổng Trần Đại Nghĩa theo nhóm a?
","Để được xét Học bổng Trần Đại Nghĩa theo nhóm a, sinh viên cần đạt các điều kiện sau:

1. Đang trong thời gian học tập theo chương trình đào tạo chuẩn (K64 hệ kỹ sư và sinh viên các khóa khác từ K65-K68).
2. Tích lũy đủ số tín chỉ theo qui định xếp hạng trình độ năm học.
3. Điểm học tập trung bình tích lũy (CPA) ≥ 2,0.
4. Điểm rèn luyện trung bình tích lũy ≥ 65.

Ngoài ra, sinh viên cũng có thể được xét học bổng nhóm a nếu thuộc các trường hợp sau:
- Sinh viên từ K64 đến K68 đáp ứng các điều kiện nêu trên.
- Sinh viên gặp tại nạn, rủi ro đột xuất như mắc bệnh hiểm nghèo, gặp tai nạn nặng, hoặc gia đình bị thiên tai, dịch bệnh, hoặc hỏa hoạn.

Đồng thời, sinh viên cần tuân thủ quy định về hồ sơ đăng ký học bổng và thời hạn nộp hồ sơ theo thông báo đã được công bố.
"
" Những trường hợp nào sẽ không được xem xét cho Học bổng Trần Đại Nghĩa?
","Các trường hợp không được xem xét cho Học bổng Trần Đại Nghĩa như sau:

1. Sinh viên đang trong thời gian bị kỷ luật từ mức cảnh cáo trở lên.
2. Sinh viên đã được nhận Học bổng KKHT hoặc học bổng tài trợ khác trong HK2023.2.
3. Sinh viên diện chế độ chính sách được miễn, giảm học phí HK2023.2.
"
" Quy trình đăng ký và kế hoạch xét, cấp Học bổng Trần Đại Nghĩa như thế nào?
","Quy trình đăng ký và kế hoạch xét, cấp Học bổng Trần Đại Nghĩa như sau:

1. **Đối tượng đăng ký**:
   - Sinh viên có hoàn cảnh kinh tế gia đình đặc biệt khó khăn và thuộc các nhóm đối tượng sau:
     a) Sinh viên từ K64 đến K68 đạt đồng thời các điều kiện về học tập và CPA, điểm rèn luyện.
     b) Sinh viên các khóa gặp tại nạn, rủi ro đột xuất như bệnh nặng, tai nạn, hoặc thiên tai, dịch bệnh.

2. **Mức học bổng**:
   - Học bổng Trần Đại Nghĩa nhóm a: 50% và 100% học phí của học kỳ 2023.2.
   - Học bổng Trần Đại Nghĩa nhóm b: 5 triệu và 10 triệu đồng học phí của học kỳ 2023.2.

3. **Trường hợp không được xét học bổng**:
   - Sinh viên đang trong thời gian bị kỷ luật từ mức cảnh cáo trở lên.
   - Sinh viên đã được nhận học bổng hoặc hỗ trợ khác trong HK2023.2.
   - Sinh viên diện chế độ chính sách được miễn, giảm học phí HK2023.2.

4. **Hồ sơ đăng ký**:
   - Đơn đăng ký xét học bổng.
   - Chứng nhận hộ nghèo/hộ cận nghèo năm 2024 (nếu có).
   - Hồ sơ minh chứng khác về hoàn cảnh kinh tế gia đình khó khăn.
   - Bản sao chứng thực Thẻ CCCD.
   - Giấy xác nhận thông tin về cư trú hoặc Giấy thông báo số định danh cá nhân.

5. **Quy trình đăng ký và xét học bổng**:
   - Sinh viên đăng ký tại link https://forms.office.com/r/v4dUmZ9fs8 và nộp hồ sơ tại bàn số 3 phòng 103 nhà C1 trước 12h00 Thứ 2 ngày 01/4/2024.
   - Kết quả xét học bổng dự kiến sẽ được công bố cùng với kết quả xét cấp học bổng khuyến khích học tập vào tuần học thứ 10 của học kỳ 2023.2.
"
" Nơi nào là điểm nhận hồ sơ đăng ký Học bổng Trần Đại Nghĩa?
","Điểm nhận hồ sơ đăng ký Học bổng Trần Đại Nghĩa là tại bàn số 3 phòng 103 nhà C1.
"
" Đại học Bách Khoa Hà Nội áp dụng hình thức đào tạo nào cho sinh viên từ khóa 52 trở đi?
","Đại học Bách Khoa Hà Nội áp dụng hình thức đào tạo theo hệ thống tín chỉ cho sinh viên từ khóa 52 trở đi. Đây là một hình thức đào tạo tiên tiến, linh hoạt, cho phép sinh viên tự chủ xây dựng kế hoạch học tập của mình.
"
" Các nội dung chính có trong ""Sổ tay sinh viên 2023"" và ""Cẩm nang phòng tư vấn"" là gì?
","Trong ""Sổ tay sinh viên 2023"" và ""Cẩm nang phòng tư vấn"" có các nội dung chính sau:

1. **Sổ tay sinh viên 2023:**
   - Giới thiệu về Đại học Bách Khoa Hà Nội.
   - Đơn vị quản lý sinh viên, ngành, chuyên ngành và chương trình đào.
   - Quy chế đào tạo theo hệ thống tín chỉ.
   - Quy trình và hướng dẫn sinh viên đăng ký học phần trực tuyến.
   - Quy chế Công tác sinh viên và khung rèn luyện đối với sinh viên nội trú, ngoại trú.
   - Các công tác sinh viên khác như công tác Đoàn, Hội, chế độ chính sách, thư viện, y tế trường học.
   - Hướng dẫn về các công tác sinh viên như học bổng, chế độ chính sách, vay vốn tín dụng, nghỉ học dài ngày.
   - Kinh nghiệm tham gia các hoạt động ngoại khóa và đời sống của sinh viên.

2. **Cẩm nang phòng tư vấn:**
   - Không có thông tin về nội dung cụ thể của ""Cẩm nang phòng tư vấn"" trong đoạn văn bạn cung cấp. Tuy nhiên, dựa trên tên gọi, có thể giả định rằng nó có thể chứa các hướng dẫn và tư vấn cho sinh viên trong một số lĩnh vực như học tập, sự nghiệp, tâm lý, v.v.

Để có thông tin chi tiết về ""Cẩm nang phòng tư vấn"", bạn có thể truy cập vào liên kết tải về mà bạn đã cung cấp.
"
" Mức học phí đào tạo đại học chính quy đối với Khóa 68 là bao nhiêu?
","Mức học phí đào tạo đại học chính quy đối với Khóa 68 (nhập học trong năm 2023) là bằng mức học phí của chương trình đào tạo tương ứng đối với Khóa 67 (nhập học trong năm 2022). Do đó, mức học phí cho Khóa 68 sẽ giống như mức học phí của Khóa 67.
"
" Mức học phí đào tạo thạc sĩ, tiến sĩ trong học kỳ 1 năm học 2023-2024 có thay đổi so với năm học trước không?
","Mức học phí đào tạo thạc sĩ, tiến sĩ trong học kỳ 1 năm học 2023-2024 không thay đổi so với mức học phí của chương trình đào tạo tương ứng được áp dụng trong năm học 2022-2023. Điều này có nghĩa là không có sự thay đổi về mức học phí cho các khóa thạc sĩ và tiến sĩ so với năm trước.
"
" Sinh viên Khóa 67 (nhập học trong năm 2022) sẽ phải đóng mức học phí nào so với sinh viên Khóa 66 (nhập học trong năm 2021)?
","Sinh viên Khóa 67 (nhập học trong năm 2022) sẽ phải đóng mức học phí tương đương với sinh viên Khóa 66 (nhập học trong năm 2021). Điều này có nghĩa là mức học phí cho các chương trình đào tạo đại học chính quy và đào tạo cấp bằng đại học cho người đã tốt nghiệp đại học hệ chính quy sẽ không thay đổi so với mức học phí của chương trình đào tạo tương ứng đã áp dụng trong năm học 2021-2022.

Để biết thông tin chi tiết, bạn có thể xem quy định về mức học phí năm học 2022-2023 tại đường link sau: [https://ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hocphi/2022-2023/2022-11-22%20Q%C4%90%20h%E1%BB%8Dc%20ph%C3%AD%20to%C3%A0n%20tr%C6%B0%E1%BB%9Dng%202022-2023_phe%20duyet.pdf](https://ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hocphi/2022-2023/2022-11-22%20Q%C4%90%20h%E1%BB%8Dc%20ph%C3%AD%20to%C3%A0n%20tr%C6%B0%E1%BB%9Dng%202022-2023_phe%20duyet.pdf).

Thông tin về quy định mức học phí năm học 2021-2022 cũng có sẵn tại đường link sau: [https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=38099&fbclid=IwAR1YH06SgDJsS91YTp7BTh1GFTVoT9I-yQfpnDPIB1tYryZfPGCXoDU8VMw](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=38099&fbclid=IwAR1YH06SgDJsS91YTp7BTh1GFTVoT9I-yQfpnDPIB1tYryZfPGCXoDU8VMw)
"
" Mức học phí đào tạo thạc sĩ, tiến sĩ đã thay đổi trong năm học 2022-2023 so với năm trước không?
","Không, mức học phí đào tạo thạc sĩ và tiến sĩ không thay đổi so với mức học phí của các chương trình đào tạo tương ứng được áp dụng trong năm học 2021-2022.
"
" Nếu một sinh viên mới nhập học trong năm học 2022-2023, mức học phí mà họ phải đóng sẽ như thế nào so với sinh viên nhập học trong năm học 2021-2022?
","Đối với sinh viên mới nhập học trong năm học 2022-2023, mức học phí mà họ phải đóng sẽ giống như sinh viên nhập học trong năm học 2021-2022. Điều này có nghĩa là mức học phí sẽ không thay đổi đối với các sinh viên mới nhập học trong năm học 2022-2023 so với các sinh viên đã nhập học trong năm học 2021-2022.
"
" Ban Công tác sinh viên đã kết hợp với ai để chỉnh sửa cuốn ""Sổ tay sinh viên 2023""?
","Ban Công tác sinh viên đã kết hợp với Cẩm nang sinh viên và Cẩm nang Phòng tư vấn để chỉnh sửa cuốn ""Sổ tay sinh viên 2023"".
"
" Để có được bản mềm của ""Cẩm nang sinh viên 2023"", sinh viên cần thực hiện thao tác gì?
","Để có được bản mềm của ""Cẩm nang sinh viên 2023"", sinh viên cần thực hiện thao tác sau:

1. Truy cập vào trang web tải về tài liệu bằng cách sử dụng liên kết: https://drive.google.com/file/d/1c0wu0mGopfbwrEAIECaUlBLokkhvamJb/view.
2. Nhấp vào liên kết để mở trình duyệt web.
3. Tại trang mở ra, bạn có thể xem trước nội dung của ""Cẩm nang sinh viên 2023"".
4. Để tải xuống, nhấp vào biểu tượng menu ở phía trên cùng bên trái của trang (ba điểm chấm đứng).
5. Trong menu, chọn ""Tải xuống"" để tải tệp PDF của ""Cẩm nang sinh viên 2023"" về máy tính hoặc thiết bị di động của bạn.

Sau khi thực hiện các bước trên, bạn sẽ có thể truy cập và sử dụng ""Cẩm nang sinh viên 2023"" trên thiết bị của mình.
"
" Cuốn ""Cẩm nang phòng tư vấn"" được cung cấp qua đường liên kết nào?
","Cuốn ""Cẩm nang phòng tư vấn"" được cung cấp qua đường liên kết sau: https://drive.google.com/file/d/1X2O3NLxhriWtfC6rNLDD8vaBzjcGfcsh/view?usp=sharing
"
" Phòng Tư vấn Học tập & Tâm lý Sinh viên thực hiện những hoạt động gì để hỗ trợ sinh viên?
","Phòng Tư vấn Học tập & Tâm lý Sinh viên thực hiện một loạt các hoạt động nhằm hỗ trợ sinh viên, bao gồm:

1. Tư vấn tâm lý cho sinh viên: Cung cấp không gian để sinh viên có thể bày tỏ và chia sẻ những tâm tư, lo âu, và vướng mắc trong cuộc sống và học tập.

2. Tư vấn học tập cho sinh viên: Hỗ trợ sinh viên trong việc giải quyết các vấn đề liên quan đến học tập, như phương pháp học tập hiệu quả, quản lý thời gian và áp lực học tập.

3. Tổ chức các buổi nói chuyện chuyên đề và chia sẻ kinh nghiệm: Tổ chức các sự kiện như buổi hội thảo và toạ đàm nhằm giúp sinh viên vượt qua các khó khăn và vướng mắc trong học tập và cuộc sống.

Đối tượng mà Phòng Tư vấn hướng đến bao gồm sinh viên có nguy cơ gặp vấn đề về tâm lý do áp lực học tập, sinh viên có dấu hiệu bệnh lý tâm thần, và cả phụ huynh và những người liên quan đến sinh viên.

Tổ chức này cung cấp một không gian an toàn và hỗ trợ cho sinh viên để họ có thể vượt qua khó khăn và phát triển tốt hơn trong quá trình học tập và phát triển cá nhân. Đồng thời, nó cũng tạo điều kiện cho sinh viên có thể giúp đỡ lẫn nhau khi gặp khó khăn. Để liên hệ và biết thêm thông tin chi tiết, sinh viên có thể sử dụng các thông tin liên hệ được cung cấp như số điện thoại, email, cổng thông tin và fanpage.
"
